"analysis","model","estimate","ci_lower","ci_upper","se_log","z","p_value","se_source","outcome","n","events"
"Full cohort","Treatment only",0.773590910970859,0.71955818039803,0.831681042394222,0.0369424184917063,-6.94897882696145,3.67939759236019e-12,"robust","Outcome 1",18082,2891
"Full cohort","+ demographics",0.738841375488963,0.686398654568101,0.795290862680824,0.0375642934939332,-8.05743967032003,7.79090222437658e-16,"robust","Outcome 1",18082,2891
"Full cohort","+ comorbidities",0.717411733218438,0.666177041199813,0.772586809705305,0.0378039892080698,-8.78492893944782,1.56463414959717e-18,"robust","Outcome 1",18082,2891
"Full cohort","+ lab measure",0.714868963286913,0.663858007236172,0.769799609405179,0.0377716000230159,-8.88646551931734,6.30836188692282e-19,"robust","Outcome 1",18082,2891
"Age >= 65","Treatment only",0.768017722007157,0.706185597019897,0.835263737757093,0.0428246237335961,-6.16333425863784,7.12289281083215e-10,"robust","Outcome 1",10844,2130
"Age >= 65","+ demographics",0.741632830865814,0.681310372368522,0.807296172383143,0.043284632888553,-6.90547604191779,5.00353528502599e-12,"robust","Outcome 1",10844,2130
"Age >= 65","+ comorbidities",0.722230138390744,0.662957613937373,0.786801994326576,0.0436909976827515,-7.44802034526309,9.47512122548656e-14,"robust","Outcome 1",10844,2130
"Age >= 65","+ lab measure",0.719299813075031,0.66026638935424,0.783611326325121,0.0436920697812088,-7.54088839529473,4.66780475015068e-14,"robust","Outcome 1",10844,2130
"Full cohort","Treatment only",0.996408446393036,0.912081273304534,1.08853215289279,0.0451172365360978,-0.0797482070350142,0.936437517848183,"robust","Outcome 2",18082,1920
"Full cohort","+ demographics",0.975664178006214,0.892286203471914,1.06683324760664,0.0455781386647968,-0.540540540081654,0.58882431094803,"robust","Outcome 2",18082,1920
"Full cohort","+ comorbidities",0.957124365775114,0.875073304376197,1.04686892741341,0.045728226756278,-0.958312737950871,0.337905082533697,"robust","Outcome 2",18082,1920
"Full cohort","+ lab measure",0.946105946195835,0.864840267027372,1.03500784544157,0.045822132381198,-1.20903850295969,0.226648053474094,"robust","Outcome 2",18082,1920
"Age >= 65","Treatment only",1.0025554628133,0.904638420096578,1.11107093584361,0.0524357360154231,0.0486729731329879,0.961179914654637,"robust","Outcome 2",10844,1433
"Age >= 65","+ demographics",0.983350431848386,0.886962317660835,1.09021325096042,0.0526351765385972,-0.318983068952981,0.749739351685353,"robust","Outcome 2",10844,1433
"Age >= 65","+ comorbidities",0.95485362909349,0.860772085890899,1.05921819252462,0.0529235745178294,-0.872904346200392,0.38271521714204,"robust","Outcome 2",10844,1433
"Age >= 65","+ lab measure",0.941150241870295,0.848379943846872,1.04406496664234,0.0529469965494625,-1.14553221467256,0.251988758637941,"robust","Outcome 2",10844,1433
