"variable","smd_before","smd_after"
"demo_age",0.238,0.0798
"demo_sex0",0.1257,0.0413
"demo_sex1",0.1257,0.0413
"demo_raceGroup_A",0.0015,0.0016
"demo_raceGroup_B",0.0018,0.0021
"demo_raceMissing",7e-04,0.0013
"clinical_binary_10",0.1498,0.0566
"clinical_binary_11",0.1498,0.0566
"clinical_binary_20",0.1521,0.0589
"clinical_binary_21",0.1521,0.0589
"clinical_binary_30",0.0155,0.0081
"clinical_binary_31",0.0155,0.0081
"clinical_binary_40",0.028,0.0121
"clinical_binary_41",0.028,0.0121
"clinical_binary_50",0.0178,0.0076
"clinical_binary_51",0.0178,0.0076
"clinical_binary_60",0.0168,0.0085
"clinical_binary_61",0.0168,0.0085
"clinical_continuous_1",0.2932,0.0956
