"feature","importance"
"exposure_group_Exposure_B",0.0671846040376258
"demo_sex_X1",0.0587546653681393
"clinical_binary_2_X1",0.0546425777516976
"demo_race_Group_B",0.0545055782367796
"clinical_binary_5_X1",0.0534244196262765
"clinical_binary_3_X1",0.0448206716356289
"clinical_binary_1_X1",0.0413260339140819
"clinical_binary_4_X1",0.0309371891804851
"clinical_continuous_1",0.0177289746997104
"clinical_binary_6_X1",0.0165514930867484
"demo_age",0.0111586499082012
"demo_race_Missing",0.00404368944654154
