"variable","importance_A","rank_A","importance_B","rank_B"
"demo_sex_X1",0.0325519000130874,1,0.0271576434589369,2
"clinical_binary_1_X1",0.0282398102976116,2,0.0240614902995501,4
"demo_race_Group_B",0.0259671652304318,3,0.0248454475890745,3
"clinical_binary_2_X1",0.0217720845140385,4,0.0201404743031461,5
"clinical_binary_4_X1",0.0157047326018854,5,0.0119016947666664,7
"clinical_binary_6_X1",0.0120834047244565,6,0.0121421925217763,6
"demo_age",0.011700107478918,7,0.0100983710073748,8
"clinical_binary_3_X1",0.00975574743202829,8,0.00849501652009723,9
"clinical_binary_5_X1",0.00638237023204903,9,0.00464216057005364,11
"clinical_continuous_1",0.00611006172684371,10,0.00555806806137421,10
"demo_race_Missing",0.00204258446705511,11,0.00214246340328685,12
"exposure_group_TreatB",NA,NA,0.0324275671404521,1
