"feature","importance"
"demo_sex_X1",0.0770053751938671
"demo_race_Group_B",0.0677784600198709
"exposure_group_Exposure_B",0.0620518735623267
"clinical_binary_5_X1",0.0561473282485573
"clinical_binary_2_X1",0.0557275621401248
"clinical_binary_3_X1",0.0356090050388482
"clinical_binary_4_X1",0.0324038172158049
"clinical_binary_6_X1",0.0210458235775004
"clinical_binary_1_X1",0.0134247708575248
"demo_age",0.0116907629521458
"clinical_continuous_1",0.0064120033907705
"demo_race_Missing",0.00372597294536485
