"variable","cohort_label","Exposure_A","Exposure_B","p","test"
"n","Overall cohort","74138","75862","",""
"demo_age (mean (SD))","Overall cohort","66.64 (10.78)","69.18 (10.66)","<0.001",""
"demo_sex = 1 (%)","Overall cohort","33345 (45.0)","38887 (51.3)","<0.001",""
"demo_race (%)","Overall cohort","","","0.937",""
"   Group_A","Overall cohort","37175 (50.1)","38097 (50.2)","",""
"   Group_B","Overall cohort","33336 (45.0)","34042 (44.9)","",""
"   Missing","Overall cohort","3627 (4.9)","3723 (4.9)","",""
"clinical_binary_1 = 1 (%)","Overall cohort","5021 (6.8)","8773 (11.6)","<0.001",""
"clinical_binary_2 = 1 (%)","Overall cohort","15863 (21.4)","21425 (28.2)","<0.001",""
"clinical_binary_3 = 1 (%)","Overall cohort","14896 (20.1)","15718 (20.7)","0.003",""
"clinical_binary_4 = 1 (%)","Overall cohort","12835 (17.3)","13957 (18.4)","<0.001",""
"clinical_binary_5 = 1 (%)","Overall cohort","20189 (27.2)","21266 (28.0)","0.001",""
"clinical_binary_6 = 1 (%)","Overall cohort","9142 (12.3)","9783 (12.9)","0.001",""
"clinical_continuous_1 (mean (SD))","Overall cohort","81.30 (14.75)","76.97 (14.78)","<0.001",""
"n","Age 65+ cohort","42839","50791","",""
"demo_age (mean (SD))","Age 65+ cohort","74.00 (6.70)","75.04 (7.02)","<0.001",""
"demo_sex = 1 (%)","Age 65+ cohort","19073 (44.5)","25904 (51.0)","<0.001",""
"demo_race (%)","Age 65+ cohort","","","0.780",""
"   Group_A","Age 65+ cohort","21440 (50.0)","25534 (50.3)","",""
"   Group_B","Age 65+ cohort","19282 (45.0)","22770 (44.8)","",""
"   Missing","Age 65+ cohort","2117 (4.9)","2487 (4.9)","",""
"clinical_binary_1 = 1 (%)","Age 65+ cohort","3319 (7.7)","6487 (12.8)","<0.001",""
"clinical_binary_2 = 1 (%)","Age 65+ cohort","10140 (23.7)","15500 (30.5)","<0.001",""
"clinical_binary_3 = 1 (%)","Age 65+ cohort","9524 (22.2)","11456 (22.6)","0.241",""
"clinical_binary_4 = 1 (%)","Age 65+ cohort","8497 (19.8)","10369 (20.4)","0.028",""
"clinical_binary_5 = 1 (%)","Age 65+ cohort","12286 (28.7)","14841 (29.2)","0.071",""
"clinical_binary_6 = 1 (%)","Age 65+ cohort","5722 (13.4)","6920 (13.6)","0.237",""
"clinical_continuous_1 (mean (SD))","Age 65+ cohort","78.59 (14.50)","74.82 (14.53)","<0.001",""
